ticker,sheet,header_row,n_match,skip_after_header,name,freq,name_eng
gdp_nom,1.1.,"/ GDP, bln rubles",1,0,"Объем ВВП, млрд рублей",q,"GDP, bln rubles"
gdp_real,1.1.,"/ Volume index of produced GDP, percent ",1,0,"Индекс физического объема произведенного ВВП, в % ",q,"Volume index of produced GDP, percent "
ipi,1.2.,/ percent of previous period,1,0,Индекс промышленного производства в % к предыдущему периоду ,m,Industrial production index
ipi_mining,1.2.,/ reporting month as percent of previous month,1,0,"Индексы производства по видам деятельности: Добыча полезных ископаемых, отчетный месяц в % к предыдущему месяцу ",m,Mining and quarrying          
ipi_manufacturing,1.2.,/ reporting month as percent of previous month,2,0,"Индексы производства по видам деятельности: Обрабатывающие производства, отчетный месяц в % к предыдущему месяцу",m,Manufacturing
ipi_electricity,1.2.,/ reporting month as percent of previous month,3,0,"Индексы производства по видам деятельности: Обеспечение электрической энергией, газом и паром; кондиционирование воздуха, отчетный месяц в % к предыдущему месяцу",m,Electricity. gas. steam and air conditioning supply
ipi_water,1.2.,/ reporting month as percent of previous month,4,0,"Индексы производства по видам деятельности: Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений, отчетный месяц в % к предыдущему месяцу",m,Water supply; sewerage. waste management and remediation activities
api,1.3.,/ percent of corresponding period of previous year,1,0,Индекс производства продукции сельского хозяйства в хозяйствах всех категорий,m,Agricultural production index
animal_livestock,1.4.," / Livestock and poultry for slaughter (live weight), thou tons",1,0,"Производство продуктов животноводства в хозяйствах всех категорий Скот и птица  на убой в живом весе, тыс.тонн",m,Production of animal husbandry products at enterprises of all types
animal_milk,1.4.,"/ Milk, thou tons",1,0,"Молоко, тыс.тонн ",m,
animal_eggs,1.4.,"/ Eggs, mln pieces",1,0,"Яйца, млн штук ",m,
,1.5.,"/ Freight turnover of transport, including commercial and noncommercial freight turnover, bln ton-km",1,0,"Грузооборот транспорта, включая коммерческий и некоммерческий грузооборот, млрд тонно-км ",m,
,1.5.,"/ Commercial freight turnover, bln ton-km",1,0,"Коммерческий грузооборот транспорта, млрд тонно-км",m,
,1.5.,"/ Freight loading on railway transport, mln ton",1,0,"Погрузка грузов на железнодорожном транспорте,  млн тонн",m,"Freight loading on railway transport, mln ton"
,1.6.,/ Investments in fixed capital,1,0,"Инвестиции в основной капитал, млрд рублей",q,"Investments in fixed capital, bln rubles"
,1.6.1.,/ own funds of organizations,1,0,"Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, млрд рублей: собственные средства предприятий",q,
,1.6.1.,/ external funds,1,0,"Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, млрд рублей: привлеченные средства",q,
,1.6.1., /of which budget funds ,1,0,"Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, млрд рублей: из них бюджетные средства",q,
,1.6.1.,/ from federal budget ,1,0,"Инвестиции в основной капитал организаций (без субъектов малого предпринимательства) по источникам финансирования, млрд рублей: из них средства из федерального бюджета",q,
,1.7.,"/ Volume of works in construction activity (at current prices of corresponding years), bln rubles",,,"Объем работ по виду деятельности ""Строительство"" (в фактических ценах соответствующих лет), млрд рублей ",m,
,1.8.,"/ Residential buildings commissioned by organizations of all types of ownership, mln sq meters of total floor space of living accommodations",,,"Ввод в действие жилых домов организациями  всех форм собственности, млн кв.м общей площади жилых помещений",m,
,1.11.,"  / Deficit (-), surplus of consolidated budget1) (data of the Federal Treasury), bln rubles",,,"1.11. Дефицит ( – ), профицит консолидированного бюджета1)   (по данным Федерального казначейства), млрд рублей",m,
,,"         / Retail trade turnover, bln rubles                 ",,,,m,
,,"food products, including beverages, and tobacco2), bln rubles",,,"пищевые продукты, включая напитки, и табачные изделия2), млрд рублей",m,
,,"/ non-food goods3), bln rubles",,,"непродовольственные товары3),  млрд рублей ",m,
,," / Catering turnover, bln rubles",,," 1.12.1. Оборот общественного питания, млрд рублей",m,
,,"             / Trade stock of retail trade organizations, end of period4),  bln rubles",,,"1.12.2. Товарные запасы в организациях розничной торговли, на конец периода4),  млрд рублей",m,
,,"/ Availability of stock of retail trade turnover, days of trade",,,"Обеспеченность оборота розничной торговли запасами, дней торговли  ",m,
,,"          / Volume of market services (according to short-term reports), bln rubles              ",,,,,
,,   / Consumer price index percent of  previous month ,,,2.1. Доходы и расходы ,,
,,,,,,,
,,"/ Consolidated budget1), bln rubles",,,,,
,,"    / Federal budget, bln rubles",,,,,
,,"/ Consolidated budgets of constituent entities of the Russian Federation, bln rubles",,,,,
,,,,,2.1.2. Расходы (по данным Федерального казначейства),,
,,"/ Consolidated budget, bln rubles1)",,,,,
,,"/ Federal budget, bln rubles",,,,,
,,"/ Consolidated budgets of constituent entities of the Russian Federation, bln rubles",,,,,
,,,,,"2.2. Сальдированный финансовый результат1) по видам экономической деятельности, млн рублей",,
,,/Mining and quarrying,,,,,
,, / Manufacturing ,,,,,
,,"/ Electricity, gas, steam and air conditioning supply",,,,,
,,/ Construction,,,,,
,,/ Transport and storage,,,,,
,,,,,Убыточные организации,,
,,"/number of organizations, units",,,Добыча полезных ископаемых ,,
,,"/ share of total  number of organizations, percent  ",,," удельный вес в общем количестве организаций, процентов ",,
,,,,,Обрабатывающие производства,,
,,,,,,,
,,,,,"Обеспечение электрической энергией,  газом и паром; кондиционирование воздуха",,
,,,,,,,
,,,,,Строительство,,
,,,,,,,
,,,,,Транспортировка и хранение ,,
,,,,,,,
,,,,,2.3. данные цб,,
,,,,,2.4. Задолженность организаций (на конец месяца) ,,
,,"/ Creditor indebtedness, bln rubles",,,"2.4.1. Кредиторская задолженность, млрд рублей ",,
,," / of which overdue payments, bln rubles",,,"    в том числе просроченная, млрд рублей",,
,,"/ Suppliers, bln rubles",,,"Из просроченной кредиторской задолженности – задолженность:   Поставщикам, млрд рублей 												
",,
,,"/ In budgets of all levels, bln rubles",,,"   В бюджеты всех уровней, млрд рублей ",,
,," / Debtor indebtedness, bln rubles",,,"2.4.2. Дебиторская задолженность, млрд рублей",,
,," / of which overdue payments, bln rubles",,,"     в том числе просроченная, млрд рублей ",,
,,"/ from debtor overdue payments is indebtedness of customers, bln rubles",,,"Из просроченной дебиторской задолженности – задолженность покупателей,  млрд рублей  ",,
,,"/  Overdue arrears of wages of month, total1), mln rubles         ",,,"2.5. Просроченная задолженность по заработной плате на начало месяца, всего1), млн рублей  ",,
,,"        / Producer price index of industrial goods1),2)  (end of period, percent of end of previous period)",,,"3.1. Индексы цен производителей промышленных товаров1),2) (на конец периода, в % к концу предыдущего периода)",,
,,/Mining and quarrying,,,,,
,, / Manufacturing ,,,,,
,,"/ Electricity, gas, steam and air conditioning supply",,,,,
,," / Water supply;sewerage, waste management and remediation activities",,,,,
,,,,,3.1.1. Средние цены производителей на энергоресурсы и  продукты нефтепереработки (на конец периода),,
,," Dehydrated, desalted and stabilized oil1) rubles per ton ",,,"Нефть обезвоженная, обессоленная и стабилизированная1) рублей за тонну ",,
,,"/ Coal, except anthracite, coked coal and brown coal, rubles per ton",,,"Уголь,  за исключением антрацита, угля коксующегося и угля бурого, рублей за тонну",,
,,"/ Natural gas, rubles per thou cubic meter",,,"Газ горючий природный (газ естественный), рублей за тыс.куб.м",,
,," / Gasoline, rubles per ton",,,"Бензин автомобильный, рублей за тонну",,
,,"/ Diesel oils, rubles per ton",,,"Топливо дизельное, рублей за тонну ",,
,,"/ Residual fuel oil, rubles per ton",,,"Мазут топочный, рублей за тонну ",,
,,"          / Producer price indices of animal husbandry products (end of period, percent of end of previous period)          ",,,"3.2.  Индексы цен производителей на продукцию животноводства  (на конец периода, в % к концу предыдущего периода)",,
,,,,,3.2.1. Средние цены производителей на продукцию животноводства,/ Average producer prices of animal husbandry products ,
,,"/ Cattle (live weight), rubles per ton",,," Скот крупный рогатый (в живом весе), рублей за тонну ",,
,,"/ Poultry (live weight), rubles per ton",,,"Птица сельскохозяйственная (в живом весе), рублей за тонну ",,
,," / Milk, rubles per ton",,,"Молоко сырое крупного рогатого скота, рублей за тонну ",,
,,"/ Hen’s eggs in shell, fresh, rubles per thou pieces",,," Яйца куриные в скорлупе свежие, рублей за тыс.штук",,
,,"/ Aggregated price index for investment  products (expenditures, services) (end of period, percent of end of previous period)            ",,,"3.3. Сводный индекс цен на продукцию (затраты, услуги) инвестиционного назначения (на конец периода, в % к концу предыдущего периода)",,
,,     / of which production price index for construction products,,,     в том числе индекс цен производителей на строительную продукцию,,
,,"/  Freight producer price  index (end of period, percent of end of previous period)",,,"3.4. Индексы тарифов на грузовые перевозки  (на конец периода, в % к концу предыдущего периода)",,
,,,,,"3.5. Индекс потребительских цен  (на конец периода, в % к концу предыдущего периода)",,
,,/ food products,,,  в том числе:  продукты питания,,
,,  / alcoholic beverages,,,  алкогольные напитки,,
,,  / non-food products,,,  непродовольственные товары,,
,,/ services,,,  услуги ,,
,,,,,4. Социальная сфера ,,
,,"           / Number of employed population 15 to 72 years old, mln person",,,"4.1.1. Численность занятых в возрасте 15-72 лет, млн человек",,
,,"            / Total number of unemployed aged 15 years and over6), mln person",,," 4.1.2. Численность занятых в возрасте 15 лет и старше6), млн человек",,
,,"            / Total number of unemployed 15 to 72 years old , mln person",,," 4.1.3. Общая численность безработных в возрасте 15-72 лет, млн.человек",,
,,"            / Total number of unemployed aged 15 years and over 6), mln person",,," 4.1.4. Общая численность безработных в возрасте 15 лет и старше6), млн человек",,
,,"/ Unemployment rate 15 to 72 years old, percent",,,"4.1.5. Уровень безработицы в возрасте 15-72 лет, % ",,
,,"/ Unemployment rate aged 15 years and over6), percent",,,"4.1.6. Уровень безработицы в возрасте 15 лет и старше6), % ",,
,,"         / Number of unemployed registered at bodies of state employment services7) (data of the Federal Service of Labour and Employment),  thou person                ",,," 4.1.7. Численность официально зарегистрированных безработных в органах службы занятости населения, на конец месяца7)  (по данным Федеральной службы по труду и занятости),  тыс.человек",,
,,"     / Number of citizens not engaged in labor activities, registered   with bodies of  state employment services   (data of the Federal Service for Labour and Employment), thou person ",,,"  Численность граждан, не занятых трудовой деятельностью, состоящих  на учете в органах службы занятости населения (по данным Федеральной службы по труду и занятости), тыс.человек",,
,,"  / Employer demands for employees entered to bodies of state employment services, thou person",,,"  Потребность работодателей в работниках, заявленная  в органы службы занятости населения, тыс.человек",,
,,"  / Potential number of population not engaged in labor activities  per 100 entered employer demands, persons",,,"  Нагрузка не занятого трудовой деятельностью населения на 100 заявленных вакансий, человек ",,
,,,,,,,
,,"           / Accrued average monthly nominal wages per employee,  rubles",,,"4.2.1. Среднемесячная номинальная начисленная заработная плата работников организаций, рублей1)",,
,,          / Accrued average monthly wages per employee percent of corresponding period of previous year,,,4.2.2. Реальная начисленная заработная плата работников организаций  в % к соответствующему периоду предыдущего года ,,
,,,,,,,
,,,,,4.5 данные цб,,
,,,,,"4.4.1. Денежные доходы (в среднем на душу населения)1),  рублей",,
,,"/ in accordance with the methodology for calculating the balance of money incomes and expenditures of population, 
approved by the Decree of the State Statistics Committee of Russia dated July 16, 1996 No. 61 ",,,"в соответствии с Методикой расчета баланса денежных доходов и расходов населения, 
утвержденной постановлением Госкомстата России от 16.07.1996 № 61 ",,
,,"/ in accordance with the Methodological Provisions for calculation of indicators of money incomes and expenditures of population, 
approved by order of Rosstat dated July 2, 2014 No. 465 (as amended of November 20, 2018 No. 680)",,,"в соответствии с Методологическими положениями по расчету показателей денежных доходов и расходов населения, 
утвержденными приказом Росстата от 02.07.2014 № 465 (с изменениями от 20.11.2018 № 680) ",,
,,,,,4.4.2. Реальные денежные доходы1) ,,
,,,,, в % к предыдущему периоду,,
,,"/ in accordance with the methodology for calculating the balance of money incomes and expenditures of population, 
approved by the Decree of the State Statistics Committee of Russia dated July 16, 1996 No. 61 ",,,"в соответствии с Методикой расчета баланса денежных доходов и расходов населения, 
утвержденной постановлением Госкомстата России от 16.07.1996 № 61 ",,
,,"/ in accordance with the Methodological Provisions for calculation of indicators of money incomes and expenditures of population, 
approved by order of Rosstat dated July 2, 2014 No. 465 (as amended of November 20, 2018 No. 680)",,,"в соответствии с Методологическими положениями по расчету показателей денежных доходов и расходов населения, 
утвержденными приказом Росстата от 02.07.2014 № 465 (с изменениями от 20.11.2018  № 680) ",,
,,,,,"4.4.3. Реальные располагаемые денежные доходы1)  (доходы за вычетом обязательных платежей,  скорректированные на индекс потребительских цен)",,
,,,,, в % к предыдущему периоду,,
,,"/ in accordance with the methodology for calculating the balance of money incomes and expenditures of population, 
approved by the Decree of the State Statistics Committee of Russia dated July 16, 1996 No. 61 ",,,"в соответствии с Методикой расчета баланса денежных доходов и расходов населения, 
утвержденной постановлением Госкомстата России от 16.07.1996 № 61 ",,
,,"/ in accordance with the Methodological Provisions for calculation of indicators of money incomes and expenditures of population, 
approved by order of Rosstat dated July 2, 2014 No. 465 (as amended of November 20, 2018 No. 680)",,,"в соответствии с Методологическими положениями по расчету показателей денежных доходов и расходов населения, 
утвержденными приказом Росстата от 02.07.2014 № 465 (с изменениями от 20.11.2018  № 680) ",,
